sampleid	Sample_ID	Source	Nanodrop_conc_(ng/ul)	A260/A280	A260/A230	Qubit_conc_(ng/ul)	Amount	Sample_Type	Sample_Type2	Building	Building-orig	for_ordering	PI	Insectary	Tray_Cage	Replicate	Collection_Date	group_for_novogene	sample_or_neg
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
S.1	WCTGH	Tap_water	4.3	2.205	0.217	too_low	86	Water	Water	A-CTID	CTID	CW	GrantHughes	NA	NA	NA	30/05/2023	CW	sample
S.2	WMKGH	Tap_water	5.85	1.671	0.272	too_low	117	Water	Water	B-MK	MaryKingsley	MW	GrantHughes	NA	NA	NA	30/05/2023	MW	sample
S.3	WACPM1	Tap_water	3.7	4.353	0.274	too_low	74	Water	Water	C-ACC	Accelerator	AW	PhilipMcCall	Vector1	NA	NA	30/05/2023	AW	sample
S.4	WCTGHA	Tap_water	5	2.041	0.275	too_low	100	Water	Water	A-CTID	CTID	CW	GrantHughes	NA	Tray1	NA	31/05/2023	CW	sample
S.5	WCTGHB	Tap_water	4.15	2.441	0.336	too_low	83	Water	Water	A-CTID	CTID	CW	GrantHughes	NA	Tray2	NA	31/05/2023	CW	sample
S.6	WCTGHC	Tap_water	2.65	2.409	0.212	too_low	53	Water	Water	A-CTID	CTID	CW	GrantHughes	NA	Tray3	NA	31/05/2023	CW	sample
S.7	WMKGHA	Tap_water	3.9	2.053	0.359	too_low	78	Water	Water	B-MK	MaryKingsley	MW	GrantHughes	NA	Tray1	NA	31/05/2023	MW	sample
S.8	WMKGHB	Tap_water	3.5	4.667	0.15	too_low	70	Water	Water	B-MK	MaryKingsley	MW	GrantHughes	NA	Tray2	NA	31/05/2023	MW	sample
S.9	WMKGHC	Tap_water	4.6	2.359	0.411	too_low	92	Water	Water	B-MK	MaryKingsley	MW	GrantHughes	NA	Tray3	NA	31/05/2023	MW	sample
S.10	WACPM1A	Tap_water	8.6	1.792	0.482	too_low	172	Water	Water	C-ACC	Accelerator	AW	PhilipMcCall	Vector1	Tray1	NA	31/05/2023	AW	sample
S.11	WACPM1B	Tap_water	4.05	2.314	0.471	too_low	81	Water	Water	C-ACC	Accelerator	AW	PhilipMcCall	Vector1	Tray2	NA	31/05/2023	AW	sample
S.12	WACPM1C	Tap_water	8.15	1.988	0.578	too_low	163	Water	Water	C-ACC	Accelerator	AW	PhilipMcCall	Vector1	Tray3	NA	31/05/2023	AW	sample
S.13	FCTGH1	Fish_Food	128.7	1.995	1.229	13.2	2574	FishFood	FishFood	A-CTID	CTID	CF	GrantHughes	NA	NA	Replicate1	30/05/2023	CF	sample
S.14	FCTGH2	Fish_Food	122.25	1.978	1.468	12.4	2445	FishFood	FishFood	A-CTID	CTID	CF	GrantHughes	NA	NA	Replicate2	30/05/2023	CF	sample
S.15	FCTGH3	Fish_Food	104.4	1.933	1.312	11.9	2088	FishFood	FishFood	A-CTID	CTID	CF	GrantHughes	NA	NA	Replicate3	30/05/2023	CF	sample
S.16	FMKGH1	Fish_Food	137.5	1.98	1.291	15.2	2750	FishFood	FishFood	B-MK	MaryKingsley	MF	GrantHughes	NA	NA	Replicate1	30/05/2023	MF	sample
S.17	FMKGH2	Fish_Food	163.55	1.995	1.394	16.8	3271	FishFood	FishFood	B-MK	MaryKingsley	MF	GrantHughes	NA	NA	Replicate2	30/05/2023	MF	sample
S.18	FMKGH3	Fish_Food	182.4	2.062	1.745	16.2	3648	FishFood	FishFood	B-MK	MaryKingsley	MF	GrantHughes	NA	NA	Replicate3	30/05/2023	MF	sample
S.19	FACPM11	Fish_Food	53.55	1.753	1	5.66	1071	FishFood	FishFood	C-ACC	Accelerator	AF	PhilipMcCall	Vector1	NA	Replicate1	30/05/2023	AF	sample
S.20	FACPM12	Fish_Food	34.95	1.739	0.964	3.69	699	FishFood	FishFood	C-ACC	Accelerator	AF	PhilipMcCall	Vector1	NA	Replicate2	30/05/2023	AF	sample
S.21	FACPM13	Fish_Food	33.85	1.777	0.817	3.35	677	FishFood	FishFood	C-ACC	Accelerator	AF	PhilipMcCall	Vector1	NA	Replicate3	30/05/2023	AF	sample
S.22	LWCTGHA1	Larval_Water	18.25	1.825	0.757	7.21	365	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray1	Replicate1	02/06/2023	CLW1	sample
S.23	LWCTGHA2	Larval_Water	17.1	1.869	0.491	6.31	342	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray1	Replicate2	02/06/2023	CLW1	sample
S.24	LWCTGHA3	Larval_Water	30.9	1.712	0.411	8.52	618	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray1	Replicate3	02/06/2023	CLW1	sample
S.25	LWCTGHB1	Larval_Water	27.7	2	0.92	8.36	554	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray2	Replicate1	02/06/2023	CLW2	sample
S.26	LWCTGHB2	Larval_Water	34.65	1.997	1.597	6.38	693	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray2	Replicate2	02/06/2023	CLW2	sample
S.27	LWCTGHB3	Larval_Water	23.5	2.117	1.028	5.88	470	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray2	Replicate3	02/06/2023	CLW2	sample
S.28	LWCTGHC1	Larval_Water	29.55	1.835	0.53	7.6	591	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray3	Replicate1	02/06/2023	CLW3	sample
S.29	LWCTGHC2	Larval_Water	21.4	2.108	1.216	6.56	428	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray3	Replicate2	02/06/2023	CLW3	sample
S.30	LWCTGHC3	Larval_Water	23.75	1.892	0.485	8.12	475	LarvalWater	LarvalWater	A-CTID	CTID	CLW	GrantHughes	NA	Tray3	Replicate3	02/06/2023	CLW3	sample
S.31	LWMKGHA1	Larval_Water	30.96	1.953	0.737	8.95	619.2	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray1	Replicate1	02/06/2023	MLW1	sample
S.32	LWMKGHA2	Larval_Water	34.35	1.857	0.632	8.53	687	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray1	Replicate2	02/06/2023	MLW1	sample
S.33	LWMKGHA3	Larval_Water	25.55	1.988	0.801	7.7	511	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray1	Replicate3	02/06/2023	MLW1	sample
S.34	LWMKGHB1	Larval_Water	32.65	2.022	0.707	7.21	653	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray2	Replicate1	02/06/2023	MLW2	sample
S.35	LWMKGHB2	Larval_Water	33.45	2.124	1.049	7.17	669	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray2	Replicate2	02/06/2023	MLW2	sample
S.36	LWMKGHB3	Larval_Water	46.45	2.107	1.528	10.5	929	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray2	Replicate3	02/06/2023	MLW2	sample
S.37	LWMKGHC1	Larval_Water	49.3	1.761	0.592	6.83	986	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray3	Replicate1	02/06/2023	MLW3	sample
S.38	LWMKGHC2	Larval_Water	42.8	2.167	0.896	8.91	856	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray3	Replicate2	02/06/2023	MLW3	sample
S.39	LWMKGHC3	Larval_Water	42.65	2.176	1.302	7.74	853	LarvalWater	LarvalWater	B-MK	MaryKingsley	MLW	GrantHughes	NA	Tray3	Replicate3	02/06/2023	MLW3	sample
S.40	LWACPM1A1	Larval_Water	30.8	2.192	1.23	8.07	616	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray1	Replicate1	02/06/2023	ALW1	sample
S.41	LWACPM1A2	Larval_Water	15.25	2.089	0.742	5.36	305	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray1	Replicate2	02/06/2023	ALW1	sample
S.42	LWACPM1A3	Larval_Water	32.8	2.13	1.002	8.2	656	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray1	Replicate3	02/06/2023	ALW1	sample
S.43	LWACPM1B1	Larval_Water	22.25	2.07	0.449	5.83	445	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray2	Replicate1	02/06/2023	ALW2	sample
S.44	LWACPM1B2	Larval_Water	26.3	2.055	0.649	4.98	526	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray2	Replicate2	02/06/2023	ALW2	sample
S.45	LWACPM1B3	Larval_Water	17.3	2.291	0.836	3.94	346	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray2	Replicate3	02/06/2023	ALW2	sample
S.46	LWACPM1C1	Larval_Water	35.9	2.131	1.284	10	718	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray3	Replicate1	02/06/2023	ALW3	sample
S.47	LWACPM1C2	Larval_Water	25.2	2.26	0.734	6.97	504	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray3	Replicate2	02/06/2023	ALW3	sample
S.48	LWACPM1C3	Larval_Water	28.9	2.137	1.235	7.24	578	LarvalWater	LarvalWater	C-ACC	Accelerator	ALW	PhilipMcCall	Vector1	Tray3	Replicate3	02/06/2023	ALW3	sample
S.49	SCTGH1	Sugar	10	2.105	0.355	too_low	200	Sugar	Sugar	A-CTID	CTID	CS	GrantHughes	NA	NA	Replicate1	05/06/2023	CS	sample
S.50	SCTGH2	Sugar	5.45	2.659	0.24	too_low	109	Sugar	Sugar	A-CTID	CTID	CS	GrantHughes	NA	NA	Replicate2	05/06/2023	CS	sample
S.51	SCTGH3	Sugar	5.75	2.396	0.274	0.065	115	Sugar	Sugar	A-CTID	CTID	CS	GrantHughes	NA	NA	Replicate3	05/06/2023	CS	sample
S.52	SMKGH1	Sugar	4.4	3.143	0.281	0.296	88	Sugar	Sugar	B-MK	MaryKingsley	MS	GrantHughes	NA	NA	Replicate1	05/06/2023	MS	sample
S.53	SMKGH2	Sugar	4.45	3.423	0.377	0.189	89	Sugar	Sugar	B-MK	MaryKingsley	MS	GrantHughes	NA	NA	Replicate2	05/06/2023	MS	sample
S.54	SMKGH3	Sugar	4.25	2.237	0.336	0.236	85	Sugar	Sugar	B-MK	MaryKingsley	MS	GrantHughes	NA	NA	Replicate3	05/06/2023	MS	sample
S.55	SACPM11	Sugar	4.7	3.032	0.381	too_low	94	Sugar	Sugar	C-ACC	Accelerator	AS	PhilipMcCall	Vector1	NA	Replicate1	05/06/2023	AS	sample
S.56	SACPM12	Sugar	3.15	2.52	0.373	too_low	63	Sugar	Sugar	C-ACC	Accelerator	AS	PhilipMcCall	Vector1	NA	Replicate2	05/06/2023	AS	sample
S.57	SACPM13	Sugar	3.15	2.172	0.283	too_low	63	Sugar	Sugar	C-ACC	Accelerator	AS	PhilipMcCall	Vector1	NA	Replicate3	05/06/2023	AS	sample
S.58	S2CTGH1	Sugar	4.4	4	0.282	too_low	88	Sugar2	Sugar	A-CTID	CTID	CS	GrantHughes	NA	NA	Replicate1	07/06/2023	CS	sample
S.59	S2CTGH2	Sugar	4.05	3.522	0.216	too_low	81	Sugar2	Sugar	A-CTID	CTID	CS	GrantHughes	NA	NA	Replicate2	07/06/2023	CS	sample
S.60	S2CTGH3	Sugar	5	2.5	0.203	too_low	100	Sugar2	Sugar	A-CTID	CTID	CS	GrantHughes	NA	NA	Replicate3	07/06/2023	CS	sample
S.61	S2MKGH1	Sugar	3.9	3.12	0.265	0.33	78	Sugar2	Sugar	B-MK	MaryKingsley	MS	GrantHughes	NA	NA	Replicate1	07/06/2023	MS	sample
S.62	S2MKGH2	Sugar	6.7	2.627	0.313	0.241	134	Sugar2	Sugar	B-MK	MaryKingsley	MS	GrantHughes	NA	NA	Replicate2	07/06/2023	MS	sample
S.63	S2MKGH3	Sugar	4.85	2.939	0.346	0.381	97	Sugar2	Sugar	B-MK	MaryKingsley	MS	GrantHughes	NA	NA	Replicate3	07/06/2023	MS	sample
S.64	S2ACPM11	Sugar	3.5	5.385	0.268	too_low	70	Sugar2	Sugar	C-ACC	Accelerator	AS	PhilipMcCall	Vector1	NA	Replicate1	07/06/2023	AS	sample
S.65	S2ACPM12	Sugar	10.6	2	0.385	too_low	212	Sugar2	Sugar	C-ACC	Accelerator	AS	PhilipMcCall	Vector1	NA	Replicate2	07/06/2023	AS	sample
S.66	S2ACPM13	Sugar	7.6	1.924	0.27	too_low	152	Sugar2	Sugar	C-ACC	Accelerator	AS	PhilipMcCall	Vector1	NA	Replicate3	07/06/2023	AS	sample
S.67	L3CTGHA1	L3/L4	31	2.095	1.197	12.1	620	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate1	02/06/2023	CL1	sample
S.68	L3CTGHA2	L3/L4	107.75	2.134	1.765	32.6	2155	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate2	02/06/2023	CL1	sample
S.69	L3CTGHA3	L3/L4	125.7	2.156	2.071	31.4	2514	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate3	02/06/2023	CL1	sample
S.70	L3CTGHA4	L3/L4	65	2.138	1.715	17.2	1300	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate4	02/06/2023	CL1	sample
S.71	L3CTGHA5	L3/L4	57.75	2.287	0.774	11.7	1155	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate5	02/06/2023	CL1	sample
S.72	L3CTGHA6	L3/L4	62.45	2.207	0.867	14.3	1249	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate6	02/06/2023	CL1	sample
S.73	L3CTGHA7	L3/L4	155.15	1.974	1.057	32.6	3103	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate7	02/06/2023	CL1	sample
S.74	L3CTGHA8	L3/L4	140.75	2.174	1.931	34.8	2815	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate8	02/06/2023	CL1	sample
S.75	L3CTGHA9	L3/L4	63.75	2.261	1.471	19.4	1275	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate9	02/06/2023	CL1	sample
S.76	L3CTGHA10	L3/L4	50	2.217	1.389	20.1	1000	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray1	Replicate10	02/06/2023	CL1	sample
S.77	L3CTGHB1	L3/L4	28.8	2.332	1.069	13.2	576	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate1	02/06/2023	CL2	sample
S.78	L3CTGHB2	L3/L4	27.15	2.502	0.546	7.68	543	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate2	02/06/2023	CL2	sample
S.79	L3CTGHB3	L3/L4	32.15	2.381	0.57	13	643	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate3	02/06/2023	CL2	sample
S.80	L3CTGHB4	L3/L4	22.35	2.443	0.406	10.4	447	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate4	02/06/2023	CL2	sample
S.81	L3CTGHB5	L3/L4	42.5	2.285	0.76	20.3	850	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate5	02/06/2023	CL2	sample
S.82	L3CTGHB6	L3/L4	31.2	2.438	0.615	11	624	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate6	02/06/2023	CL2	sample
S.83	L3CTGHB7	L3/L4	27.3	2.314	0.915	13	546	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate7	02/06/2023	CL2	sample
S.84	L3CTGHB8	L3/L4	53.8	2.251	1.385	21.4	1076	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate8	02/06/2023	CL2	sample
S.85	L3CTGHB9	L3/L4	35.2	2.228	1.055	11.5	704	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate9	02/06/2023	CL2	sample
S.86	L3CTGHB10	L3/L4	34	2.369	1.046	13.2	680	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray2	Replicate10	02/06/2023	CL2	sample
S.87	L3CTGHC1	L3/L4	41.75	2.281	0.746	12.2	835	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate1	02/06/2023	CL3	sample
S.88	L3CTGHC2	L3/L4	84	2.19	1.585	43	1680	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate2	02/06/2023	CL3	sample
S.89	L3CTGHC3	L3/L4	33.05	2.592	0.576	13.5	661	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate3	02/06/2023	CL3	sample
S.90	L3CTGHC4	L3/L4	143.75	2.15	1.69	31.2	2875	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate4	02/06/2023	CL3	sample
S.91	L3CTGHC5	L3/L4	39.1	2.026	1.239	12.8	782	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate5	02/06/2023	CL3	sample
S.92	L3CTGHC6	L3/L4	62	2.098	1.476	21.5	1240	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate6	02/06/2023	CL3	sample
S.93	L3CTGHC7	L3/L4	60.8	2.104	1.626	19.9	1216	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate7	02/06/2023	CL3	sample
S.94	L3CTGHC8	L3/L4	81.45	2.083	1.79	20.9	1629	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate8	02/06/2023	CL3	sample
S.95	L3CTGHC9	L3/L4	87.05	2.098	1.724	29.1	1741	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate9	02/06/2023	CL3	sample
S.96	L3CTGHC10	L3/L4	55.05	2.125	1.225	12.1	1101	Larva	Larva	A-CTID	CTID	CL	GrantHughes	NA	Tray3	Replicate10	02/06/2023	CL3	sample
S.97	L3MKGHA1	L3/L4	74.2	2.154	1.424	18.3	1484	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate1	02/06/2023	ML1	sample
S.98	L3MKGHA2	L3/L4	35.75	2.072	1.051	8.07	715	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate2	02/06/2023	ML1	sample
S.99	L3MKGHA3	L3/L4	64.85	2.176	1.654	15.1	1297	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate3	02/06/2023	ML1	sample
S.100	L3MKGHA4	L3/L4	72	2.182	1.511	15.8	1440	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate4	02/06/2023	ML1	sample
S.101	L3MKGHA5	L3/L4	161.45	2.167	1.905	33.6	3229	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate5	02/06/2023	ML1	sample
S.102	L3MKGHA6	L3/L4	59.6	2.191	1.517	15	1192	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate6	02/06/2023	ML1	sample
S.103	L3MKGHA7	L3/L4	83.2	2.175	1.577	21.5	1664	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate7	02/06/2023	ML1	sample
S.104	L3MKGHA8	L3/L4	39.85	2.131	1.081	15.7	797	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate8	02/06/2023	ML1	sample
S.105	L3MKGHA9	L3/L4	45.95	2.231	1.146	15.2	919	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate9	02/06/2023	ML1	sample
S.106	L3MKGHA10	L3/L4	37.3	2.055	1.076	10.9	746	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray1	Replicate10	02/06/2023	ML1	sample
S.107	L3MKGHB1	L3/L4	50.35	2.161	1.391	18.7	1007	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate1	02/06/2023	ML2	sample
S.108	L3MKGHB2	L3/L4	87.9	2.078	1.572	28.4	1758	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate2	02/06/2023	ML2	sample
S.109	L3MKGHB3	L3/L4	49.85	2.081	1.231	17.9	997	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate3	02/06/2023	ML2	sample
S.110	L3MKGHB4	L3/L4	32.4	1.976	0.991	12.6	648	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate4	02/06/2023	ML2	sample
S.111	L3MKGHB5	L3/L4	54.3	2.073	1.373	13.1	1086	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate5	02/06/2023	ML2	sample
S.112	L3MKGHB6	L3/L4	28.6	1.959	1.036	10.6	572	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate6	02/06/2023	ML2	sample
S.113	L3MKGHB7	L3/L4	32.65	1.949	1.185	12.8	653	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate7	02/06/2023	ML2	sample
S.114	L3MKGHB8	L3/L4	21.1	2	1.063	6.91	422	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate8	02/06/2023	ML2	sample
S.115	L3MKGHB9	L3/L4	40.4	1.995	1.792	15.6	808	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate9	02/06/2023	ML2	sample
S.116	L3MKGHB10	L3/L4	48.95	2.11	1.463	10.3	979	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray2	Replicate10	02/06/2023	ML2	sample
S.117	L3MKGHC1	L3/L4	23.1	1.933	0.849	7.04	462	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate1	02/06/2023	ML3	sample
S.118	L3MKGHC2	L3/L4	37.95	2.063	1.188	9.68	759	Larva	Larva	B-MK	MaryKingsley	ML	GrantHughes	NA	Tray3	Replicate2	02/06/2023	ML3	sample
