time to pupation,insectary,tray,number
7_days,CTID,tray_A,125
7_days,CTID,tray_B,105
7_days,CTID,tray_C,116
7_days,MK,tray_A,49
7_days,MK,tray_B,44
7_days,MK,tray_C,31
7_days,ACC,tray_A,114
7_days,ACC,tray_B,115
7_days,ACC,tray_C,109
8_days,CTID,tray_A,1
8_days,CTID,tray_B,19
8_days,CTID,tray_C,4
8_days,MK,tray_A,71
8_days,MK,tray_B,83
8_days,MK,tray_C,90
8_days,ACC,tray_A,7
8_days,ACC,tray_B,4
8_days,ACC,tray_C,10
9_days,CTID,tray_A,0
9_days,CTID,tray_B,1
9_days,CTID,tray_C,0
9_days,MK,tray_A,4
9_days,MK,tray_B,2
9_days,MK,tray_C,4
9_days,ACC,tray_A,2
9_days,ACC,tray_B,1
9_days,ACC,tray_C,4
