number,stage,tray,insectary,day,stage2
150,LARVAE ,A,CTID,2,s1
126,PUPAE ,A,CTID,9,s2
111,ADULTS ,A,CTID,14,s3
150,LARVAE ,B,CTID,2,s1
125,PUPAE ,B,CTID,9,s2
109,ADULTS ,B,CTID,14,s3
150,LARVAE ,C,CTID,2,s1
120,PUPAE ,C,CTID,9,s2
108,ADULTS ,C,CTID,14,s3
150,LARVAE ,A,MK,2,s1
124,PUPAE ,A,MK,9,s2
117,ADULTS ,A,MK,14,s3
150,LARVAE ,B,MK,2,s1
129,PUPAE ,B,MK,9,s2
123,ADULTS ,B,MK,14,s3
150,LARVAE ,C,MK,2,s1
125,PUPAE ,C,MK,9,s2
111,ADULTS ,C,MK,14,s3
150,LARVAE ,A,ACC,2,s1
123,PUPAE ,A,ACC,9,s2
111,ADULTS ,A,ACC,14,s3
150,LARVAE ,B,ACC,2,s1
120,PUPAE ,B,ACC,9,s2
112,ADULTS ,B,ACC,14,s3
150,LARVAE ,C,ACC,2,s1
123,PUPAE ,C,ACC,9,s2
105,ADULTS ,C,ACC,14,s3
